"Allocation","Num","mean","std","rrr","sharpe1","sharpe2","sharpe3","sharpe4","type"
"Large_Cap: 0%,  Fixed: 100%",0,2.42782690484423,1.85438371607974,1.30923653168007,1.26424824784688,1.18217118518572,1.46144743633348,1.69309297191913,"240 Months"
"Large_Cap: 1%,  Fixed: 99%",1,2.48600244602939,1.85255083908805,1.34193480339421,1.29690200904687,1.21474374097071,1.49945275740453,1.74021373110141,"240 Months"
"Large_Cap: 2%,  Fixed: 98%",2,2.54417798721456,1.85226215640561,1.37355178283815,1.32851196994442,1.24634089716396,1.53583320179774,1.78439678863172,"240 Months"
"Large_Cap: 3%,  Fixed: 97%",3,2.60235352839972,1.85351838955034,1.40400739645806,1.35899810956619,1.27688272872045,1.57046680274132,1.82542412956646,"240 Months"
"Large_Cap: 4%,  Fixed: 96%",4,2.66052906958489,1.8563164020319,1.43323038393278,1.38828893921822,1.30629733030074,1.60324939745582,1.86312748431403,"240 Months"
"Large_Cap: 5%,  Fixed: 95%",5,2.71870461077005,1.86064923835913,1.46115912377318,1.41632233281078,1.3345216552168,1.63409616248,1.89739151452693,"240 Months"
"Large_Cap: 6%,  Fixed: 94%",6,2.77688015195521,1.86650620991803,1.48774225191416,1.44304615580082,1.36150216325809,1.6629425967778,1.92815472631046,"240 Months"
"Large_Cap: 7%,  Fixed: 93%",7,2.83505569314038,1.87387302526643,1.51293905985828,1.46841867889875,1.38719526279196,1.6897449315509,1.95540817406064,"240 Months"
"Large_Cap: 8%,  Fixed: 92%",8,2.89323123432554,1.88273196118888,1.53671966799701,1.49240877155801,1.41156754104828,1.71447997633917,1.97919218534108,"240 Months"
"Large_Cap: 9%,  Fixed: 91%",9,2.9514067755107,1.89306206983436,1.55906497866124,1.51499587903476,1.43459578498194,1.73714443932128,1.99959146659262,"240 Months"
"Large_Cap: 10%,  Fixed: 90%",10,3.00958231669587,1.90483941646306,1.57996642167564,1.53616979491876,1.45626680301978,1.75775378352563,2.01672902943628,"240 Months"
"Large_Cap: 11%,  Fixed: 89%",11,3.06775785788103,1.91803734178445,1.59942551224104,1.5559302480263,1.47657706488081,1.77634069837233,2.03075940503748,"240 Months"
"Large_Cap: 12%,  Fixed: 88%",12,3.1259333990662,1.93262674258383,1.61745324650065,1.57428632806968,1.49553218216615,1.79295327680367,2.04186159455303,"240 Months"
"Large_Cap: 13%,  Fixed: 87%",13,3.18410894025136,1.94857636430375,1.6340693639631,1.59125577837163,1.51314625633763,1.80765299220541,2.05023214780005,"240 Months"
"Large_Cap: 14%,  Fixed: 86%",14,3.24228448143652,1.9658530994453,1.64930150800759,1.60686418602347,1.52944112297494,1.82051256701373,2.05607868336481,"240 Months"
"Large_Cap: 15%,  Fixed: 85%",15,3.30046002262169,1.98442228605116,1.66318431607081,1.6211441003662,1.54444552187695,1.83161381746367,2.05961407475583,"240 Months"
"Large_Cap: 16%,  Fixed: 84%",16,3.35863556380685,2.00424800108589,1.67575847000329,1.63413410968988,1.55819422182169,1.84104554775797,2.06105144017752,"240 Months"
"Large_Cap: 17%,  Fixed: 83%",17,3.41681110499201,2.02529334419473,1.68706973475517,1.64587790385632,1.5707271268596,1.84890155348346,2.06059999618591,"240 Months"
"Large_Cap: 18%,  Fixed: 82%",18,3.47498664617718,2.04752070805757,1.69716801031713,1.65642334745422,1.58208838817222,1.85527877974197,2.05846177263018,"240 Months"
"Large_Cap: 19%,  Fixed: 81%",19,3.53316218736234,2.07089203231652,1.70610641802031,1.66582158440621,1.59232554207886,1.86027566534876,2.05482913963037,"240 Months"
"Large_Cap: 20%,  Fixed: 80%",20,3.59133772854751,2.09536903880962,1.71394043819018,1.67412619095761,1.60148869100249,1.86399069145899,2.04988306636751,"240 Months"
"Large_Cap: 21%,  Fixed: 79%",21,3.64951326973267,2.12091344655888,1.72072711201577,1.6813923899459,1.60962974036232,1.8665211416964,2.04379201418519,"240 Months"
"Large_Cap: 22%,  Fixed: 78%",22,3.70768881091783,2.14748716561683,1.72652431655062,1.68767633538903,1.61680170065342,1.86796207159131,2.03671136020966,"240 Months"
"Large_Cap: 23%,  Fixed: 77%",23,3.765864352103,2.17505246945588,1.73139011816348,1.69303447289691,1.62305806055749,1.86840547797047,2.02878324951868,"240 Months"
"Large_Cap: 24%,  Fixed: 76%",24,3.82403989328816,2.20357214608138,1.7353822066087,1.69752297830841,1.62845223391134,1.86793965379278,2.02013678117054,"240 Months"
"Large_Cap: 25%,  Fixed: 75%",25,3.88221543447333,2.23300962845834,1.73855740924574,1.70119727434465,1.63303708080013,1.86664871058587,2.01088844390552,"240 Months"
"Large_Cap: 26%,  Fixed: 74%",26,3.94039097565849,2.2633291051661,1.74097128281718,1.70411162296293,1.63686450096238,1.86461224883841,2.00114272931069,"240 Months"
"Large_Cap: 27%,  Fixed: 73%",27,3.99856651684365,2.29449561243834,1.74267777857915,1.70631878948264,1.63998509608291,1.86190515614399,1.99099286243485,"240 Months"
"Large_Cap: 28%,  Fixed: 72%",28,4.05674205802882,2.32647510891648,1.74372897542763,1.70786977339495,1.64244789637629,1.85859751328151,1.98052160141568,"240 Months"
"Large_Cap: 29%,  Fixed: 71%",29,4.11491759921398,2.35923453455131,1.74417487492254,1.70881360001203,1.64430014607878,1.85475458948738,1.96980206813697,"240 Months"
"Large_Cap: 30%,  Fixed: 70%",30,4.17309314039914,2.3927418551389,1.7440632517196,1.70919716669858,1.6455871420168,1.850436909694,1.9588985810269,"240 Months"
"Large_Cap: 31%,  Fixed: 69%",31,4.23126868158431,2.42696609398441,1.74343955281127,1.7090651372966,1.64635211924507,1.84570037828746,1.94786746877416,"240 Months"
"Large_Cap: 32%,  Fixed: 68%",32,4.28944422276947,2.46187735215806,1.74234683909391,1.70845987844515,1.64663617779285,1.8405964458256,1.93675785003028,"240 Months"
"Large_Cap: 33%,  Fixed: 67%",33,4.34761976395464,2.49744681875111,1.74082576306019,1.7074214317534,1.6464782447675,1.83517230704425,1.92561236920513,"240 Months"
"Large_Cap: 34%,  Fixed: 66%",34,4.4057953051398,2.53364677246329,1.73891457681622,1.70598751616146,1.64591506639589,1.82947112028571,1.91446788240375,"240 Months"
"Large_Cap: 35%,  Fixed: 65%",35,4.46397084632496,2.57045057576288,1.73664916509827,1.7041935552759,1.64498122499511,1.82353224015832,1.90335609056141,"240 Months"
"Large_Cap: 36%,  Fixed: 64%",36,4.52214638751013,2.60783266276197,1.73406309848144,1.70207272496327,1.64370917632158,1.81739145674922,1.89230411907219,"240 Months"
"Large_Cap: 37%,  Fixed: 63%",37,4.58032192869529,2.64576852184749,1.73118770250428,1.69965601699749,1.64212930322579,1.8110812360506,1.88133504481924,"240 Months"
"Large_Cap: 38%,  Fixed: 62%",38,4.63849746988045,2.6842346740053,1.72805213895814,1.69697231506548,1.6402699820182,1.80463095742135,1.87046837263371,"240 Months"
"Large_Cap: 39%,  Fixed: 61%",39,4.69667301106562,2.72320864767429,1.72468349609448,1.6940484799249,1.63815765841459,1.79806714489824,1.85972046394216,"240 Months"
"Large_Cap: 40%,  Fixed: 60%",40,4.75484855225078,2.7626689508709,1.72110688497508,1.69090944096778,1.63581693036692,1.79141369000431,1.84910492080151,"240 Months"
"Large_Cap: 41%,  Fixed: 59%",41,4.81302409343594,2.8025950412335,1.71734553962444,1.68757829186755,1.6332706354908,1.78469206439326,1.83863292874016,"240 Months"
"Large_Cap: 42%,  Fixed: 58%",42,4.87119963462111,2.84296729455151,1.71342091903648,1.68407638837145,1.63053994116919,1.77792152123279,1.82831356188335,"240 Months"
"Large_Cap: 43%,  Fixed: 57%",43,4.92937517580627,2.88376697226646,1.70935280943733,1.68042344664313,1.62764443574306,1.77111928468311,1.81815405378665,"240 Months"
"Large_Cap: 44%,  Fixed: 56%",44,4.98755071699144,2.92497618836164,1.70515942551488,1.67663764086357,1.62460221949224,1.7643007271865,1.80816003726985,"240 Months"
"Large_Cap: 45%,  Fixed: 55%",45,5.0457262581766,2.96657787599327,1.70085750959333,1.67273569906216,1.62142999436646,1.75747953456198,1.79833575636215,"240 Months"
"Large_Cap: 46%,  Fixed: 54%",46,5.10390179936176,3.00855575415935,1.69646242796252,1.66873299637751,1.61814315164816,1.75066785911192,1.78868425325849,"240 Months"
"Large_Cap: 47%,  Fixed: 53%",47,5.16207734054693,3.05089429465203,1.69198826376765,1.66464364514194,1.61475585691889,1.74387646110386,1.77920753296162,"240 Months"
"Large_Cap: 48%,  Fixed: 52%",48,5.22025288173209,3.09357868949501,1.68744790603152,1.66048058134767,1.61128113186241,1.73711483910337,1.76990670805602,"240 Months"
"Large_Cap: 49%,  Fixed: 51%",49,5.27842842291726,3.13659481902866,1.68285313451862,1.65625564718984,1.60773093257284,1.73039134970923,1.76078212583494,"240 Months"
"Large_Cap: 50%,  Fixed: 50%",50,5.33660396410242,3.17992922077201,1.67821470026519,1.6519796694948,1.60411622414881,1.72371331728947,1.75183347978668,"240 Months"
"Large_Cap: 51%,  Fixed: 49%",51,5.39477950528758,3.22356905916164,1.67354240169144,1.64766253393507,1.60044705144682,1.71708713434159,1.74305990724286,"240 Months"
"Large_Cap: 52%,  Fixed: 48%",52,5.45295504647275,3.26750209624283,1.66884515628709,1.64331325500673,1.59673260594226,1.710518353107,1.73446007480298,"240 Months"
"Large_Cap: 53%,  Fixed: 47%",53,5.51113058765791,3.31171666336671,1.66413106792031,1.63894004180462,1.59298128870652,1.70401176906412,1.72603225297535,"240 Months"
"Large_Cap: 54%,  Fixed: 46%",54,5.56930612884307,3.35620163392972,1.65940748986588,1.63455035967702,1.58920076955591,1.69757149690851,1.71777438131608,"240 Months"
"Large_Cap: 55%,  Fixed: 45%",55,5.62748167002824,3.40094639717635,1.6546810836832,1.63015098787696,1.5853980424648,1.69120103960588,1.70968412520408,"240 Months"
"Large_Cap: 56%,  Fixed: 44%",56,5.6856572112134,3.44594083307352,1.6499578741003,1.6257480733533,1.581579477363,1.68490335107626,1.70175892526006,"240 Months"
"Large_Cap: 57%,  Fixed: 43%",57,5.74383275239857,3.49117528825502,1.64524330007775,1.62134718084383,1.57775086845741,1.67868089303692,1.69399604030147,"240 Months"
"Large_Cap: 58%,  Fixed: 42%",58,5.80200829358373,3.53664055302543,1.64054226223821,1.61695333944444,1.57391747923176,1.67253568649967,1.68639258462123,"240 Months"
"Large_Cap: 59%,  Fixed: 41%",59,5.86018383476889,3.58232783940664,1.63585916685379,1.61257108583649,1.57008408428732,1.66646935838509,1.67894556028523,"240 Months"
"Large_Cap: 60%,  Fixed: 40%",60,5.91835937595406,3.62822876020437,1.63119796658596,1.60820450435731,1.56625500819215,1.66048318368357,1.67165188506149,"240 Months"
"Large_Cap: 61%,  Fixed: 39%",61,5.97653491713922,3.67433530906787,1.62656219817222,1.60385726409917,1.56243416150783,1.65457812356095,1.66450841652041,"240 Months"
"Large_Cap: 62%,  Fixed: 38%",62,6.03471045832438,3.72063984151301,1.62195501725057,1.59953265321957,1.55862507416171,1.64875485977573,1.65751197278127,"240 Months"
"Large_Cap: 63%,  Fixed: 37%",63,6.09288599950955,3.76713505687645,1.61737923050774,1.59523361064143,1.55483092632973,1.64301382574515,1.65065935032248,"240 Months"
"Large_Cap: 64%,  Fixed: 36%",64,6.15106154069471,3.81381398116681,1.61283732533091,1.59096275531606,1.55105457699009,1.63735523456971,1.64394733922307,"240 Months"
