"Allocation","Num","mean","std","rrr","sharpe1","sharpe2","sharpe3","sharpe4","sharpe5","sharpe6","type"
"Large_Cap: 0%,  Fixed: 100%",0,0.00435752907589662,0.0147525155698295,0.295375324653663,0.277850339543552,-0.0498792534831934,0.114794746995887,0.27525866051589,-0.0456999523124798,0.116094787136297,"Monthly"
"Large_Cap: 1%,  Fixed: 99%",1,0.00440907176194177,0.0146895738757028,0.300149738804511,0.28254966286728,-0.046584181635724,0.11879541184806,0.279693137192515,-0.0426506289712766,0.120107210196953,"Monthly"
"Large_Cap: 2%,  Fixed: 98%",2,0.00446061444798693,0.0146461865514267,0.304558079492194,0.28690586573743,-0.0432029927592538,0.122666515148734,0.283785861373197,-0.0395350983867871,0.123982220621851,"Monthly"
"Large_Cap: 3%,  Fixed: 97%",3,0.00451215713403209,0.0146225276606492,0.308575729090586,0.290894954487321,-0.0397480120383651,0.126389868661386,0.287515984917542,-0.0363630576401776,0.127701427057826,"Monthly"
"Large_Cap: 4%,  Fixed: 96%",4,0.00456369982007725,0.0146186929891664,0.312182479203804,0.294497066705605,-0.0362326317294017,0.129948829076573,0.290866780057344,-0.0331448898551736,0.131248155897549,"Monthly"
"Large_Cap: 5%,  Fixed: 95%",5,0.0046152425061224,0.0146346981203697,0.315363013856676,0.29769694288128,-0.0326710554234801,0.133328662236045,0.293826006737056,-0.0298914962568951,0.134607819261525,"Monthly"
"Large_Cap: 6%,  Fixed: 94%",6,0.00466678519216756,0.0146704781201907,0.318107232356985,0.300484247367687,-0.0290780125812147,0.136516846435021,0.296386133394085,-0.0266141123272845,0.137768213470421,"Monthly"
"Large_Cap: 7%,  Fixed: 93%",7,0.00471832787821272,0.0147258888462948,0.320410396103179,0.302853723063168,-0.0254684566222667,0.139503300354222,0.298544402036971,-0.0233241152446441,0.140719733869198,"Monthly"
"Large_Cap: 8%,  Fixed: 92%",8,0.00476987056425788,0.0148007098204668,0.322273095149934,0.304805175108665,-0.0218572608466166,0.142280526156975,0.300302738446156,-0.020032830234197,0.143455497550132,"Monthly"
"Large_Cap: 9%,  Fixed: 91%",9,0.00482141325030303,0.0148946485323988,0.323701042009518,0.306343289986328,-0.0182589262596092,0.144843663957905,0.301667517917265,-0.0167513433585373,0.145971371770622,"Monthly"
