"Allocation","Num","mean","std","rrr","sharpe1","sharpe2","sharpe3","sharpe4","sharpe5","sharpe6","type"
"Large_Cap: 0%,  Fixed: 100%",0,0.0547001721580534,0.0644785697172385,0.848346549837149,0.794206132706742,-0.133117645098518,0.338210441095052,0.81453679774112,-0.103536668180421,0.353328917059853,"12 Months"
"Large_Cap: 1%,  Fixed: 99%",1,0.0553891778469985,0.0641278951667122,0.863729858948343,0.809293382413629,-0.123101337578783,0.350804141250965,0.82763970029837,-0.0954828560816784,0.365940784470332,"12 Months"
"Large_Cap: 2%,  Fixed: 98%",2,0.0560781835359436,0.0638456450467142,0.878339994762566,0.823662864350474,-0.11285380509379,0.363146724669653,0.839853213857659,-0.0873283764475188,0.37820671318417,"12 Months"
"Large_Cap: 3%,  Fixed: 97%",3,0.0567671892248887,0.0636327298764978,0.892106771704841,0.837246691566229,-0.102403563478906,0.3751896644764,0.851127440370362,-0.0790882688621964,0.390076433618773,"12 Months"
"Large_Cap: 4%,  Fixed: 96%",4,0.0574561949138338,0.0634898472106037,0.904966659050926,0.849983117369315,-0.0917818022930398,0.386886239929765,0.86142187661369,-0.0707782372608238,0.40150325914138,"12 Months"
"Large_Cap: 5%,  Fixed: 95%",5,0.0581452006027789,0.063417470410782,0.916864079032917,0.86181778598699,-0.0810219468242973,0.398192387466743,0.870706136852102,-0.0624145026780083,0.412444985343155,"12 Months"
"Large_Cap: 6%,  Fixed: 94%",6,0.058834206291724,0.0634158408835297,0.927752521641709,0.872704814131613,-0.0701591457973438,0.409067502338417,0.878960386907665,-0.0540136458793384,0.422864664892855,"12 Months"
"Large_Cap: 7%,  Fixed: 93%",7,0.0595232119806691,0.0634849640766539,0.937595426671405,0.882607655767915,-0.0592297025311917,0.419475157861106,0.886175475827607,-0.0455924434118045,0.432731225046207,"12 Months"
"Large_Cap: 8%,  Fixed: 92%",8,0.0602122176696143,0.0636246093885774,0.946366794990873,0.891499712992095,-0.0482704707821728,0.429383712990006,0.892352768083426,-0.0371677008415488,0.442019904042862,"12 Months"
"Large_Cap: 9%,  Fixed: 91%",9,0.0609012233585594,0.0638343139938874,0.954051505345402,0.899364669346857,-0.0373182385856216,0.438766784717594,0.897503695211281,-0.0287560870245198,0.4507124933989,"12 Months"
"Large_Cap: 10%,  Fixed: 90%",10,0.0615902290475045,0.0641133904381722,0.960645328948857,0.906196536947601,-0.0264091238828039,0.447603569216492,0.90164905964396,-0.0203739731742844,0.458797384457454,"12 Months"
"Large_Cap: 11%,  Fixed: 89%",11,0.0622792347364496,0.0644609377147971,0.966154650309303,0.911999424148794,-0.0155780045603129,0.455879004020381,0.904818134138704,-0.0120372802582303,0.466269428428705,"12 Months"
"Large_Cap: 12%,  Fixed: 88%",12,0.0629682404253947,0.0648758554151738,0.970595917732856,0.916787044799724,-0.00485800288444949,0.463583772115509,0.90704760704154,-0.0037613378849098,0.473129628590332,"12 Months"
"Large_Cap: 13%,  Fixed: 87%",13,0.0636572461143398,0.0653568604495064,0.973994859552967,0.92058200225759,0.00571995952124859,0.470714156860393,0.908380426473262,0.00443924263448622,0.479384690624048,"12 Months"
"Large_Cap: 14%,  Fixed: 86%",14,0.0643462518032849,0.0659025057715418,0.97638551144547,0.923414890380394,0.0161275246321687,0.477271763527679,0.908864595622837,0.0125506789287583,0.485046461829455,"12 Months"
"Large_Cap: 15%,  Fixed: 85%",15,0.06503525749223,0.0665112005101855,0.977809105735064,0.92532325923574,0.0263391723598345,0.483263128508704,0.908551967271976,0.0205601104013665,0.490131292095795,"12 Months"
"Large_Cap: 16%,  Fixed: 84%",16,0.0657242631811751,0.067181230911842,0.97831287532408,0.926350495161022,0.0363324046004068,0.488699240587744,0.907497079243211,0.0284556723698284,0.494659349218279,"12 Months"
"Large_Cap: 17%,  Fixed: 83%",17,0.0664132688701203,0.0679107815265037,0.977948823106991,0.926544663384563,0.0460878417481621,0.493595000143388,0.905756064541175,0.0362265512309137,0.498653918822789,"12 Months"
"Large_Cap: 18%,  Fixed: 82%",18,0.0671022745590654,0.0686979561227037,0.97677250308891,0.925957357231759,0.0555892381152013,0.497968641820358,0.903385661392648,0.0438630209373103,0.502140715339656,"12 Months"
"Large_Cap: 19%,  Fixed: 81%",19,0.0677912802480105,0.0695407978852664,0.97484185268995,0.92464259172917,0.0648234254849241,0.501841144428346,0.900442339921463,0.0513564615703841,0.505147225712165,"12 Months"
"Large_Cap: 20%,  Fixed: 80%",20,0.0684802859369556,0.0704373085288483,0.972216107730874,0.922655771974524,0.0737801958559279,0.505235648939827,0.896981554390955,0.0586993612114081,0.507702102374481,"12 Months"
"Large_Cap: 21%,  Fixed: 79%",21,0.0691692916259007,0.0713854660434671,0.96895482315382,0.920052758714852,0.0824521353434045,0.508176901878089,0.893057123196881,0.0658853026411737,0.509834616940267,"12 Months"
"Large_Cap: 22%,  Fixed: 78%",22,0.0698582973148458,0.0723832408702731,0.96511701431064,0.916889045812796,0.0908344213061245,0.510690737491128,0.888720733308932,0.0729089366324271,0.511574181351015,"12 Months"
"Large_Cap: 23%,  Fixed: 77%",23,0.0705473030037909,0.0734286103825415,0.960760426164409,0.913219057176534,0.0989245942121936,0.512803608223201,0.884021561699428,0.0797659437436793,0.5129499391689,"12 Months"
"Large_Cap: 24%,  Fixed: 76%",24,0.071236308692736,0.0745195716152765,0.955940931336924,0.909095564612517,0.106722314718365,0.514542169376448,0.879006003407733,0.0864529865836206,0.513990426381793,"12 Months"
"Large_Cap: 25%,  Fixed: 75%",25,0.0719253143816811,0.075654152245093,0.950712052772308,0.904569223107731,0.114229115086131,0.515932920673296,0.873717494133425,0.0929676545027615,0.514723298547299,"12 Months"
"Large_Cap: 26%,  Fixed: 74%",26,0.0726143200706263,0.0768304198694062,0.945124602911889,0.899688216303603,0.121448152546269,0.517001904783749,0.868196414450279,0.0993084025951689,0.515175119300854,"12 Months"
"Large_Cap: 27%,  Fixed: 73%",27,0.0733033257595714,0.078046489670458,0.939226428620761,0.894498002330184,0.128383970678842,0.517774460803961,0.862480062689782,0.105474486771282,0.51537120410867,"12 Months"
"Large_Cap: 28%,  Fixed: 72%",28,0.0739923314485165,0.0793005305760227,0.933062249534163,0.889041148601973,0.135042273394595,0.518275029147601,0.856602684064337,0.111465896505738,0.515335512554104,"12 Months"
"Large_Cap: 29%,  Fixed: 71%",29,0.0746813371374616,0.0805907700458474,0.926673576824939,0.883357243472157,0.141429714753249,0.518527003289339,0.85059554451138,0.117283286684089,0.515090582292748,"12 Months"
"Large_Cap: 30%,  Fixed: 70%",30,0.0753703428264067,0.0819154976223226,0.920098699441553,0.877482872622575,0.147553706674672,0.518552623209886,0.844487038891177,0.122927909780128,0.514657497987514,"12 Months"
"Large_Cap: 31%,  Fixed: 69%",31,0.0760593485153518,0.0832730673869347,0.913372725444785,0.871451648558754,0.153422245608591,0.518372905155124,0.838302824442109,0.128401549400479,0.514055888941631,"12 Months"
"Large_Cap: 32%,  Fixed: 68%",32,0.0767483542042969,0.0846618994621035,0.906527667013319,0.865294282425416,0.159043758428682,0.518007602358597,0.832065971695615,0.133706456042701,0.513303949701127,"12 Months"
