"Allocation","Num","mean","std","rrr","sharpe1","sharpe2","type"
"Large_Cap: 0%,  Fixed: 100%",0,0.0528035935999083,0.0644785697172385,0.818932458202328,0.765235209957156,0.780772595061564,"12 Months"
"Large_Cap: 1%,  Fixed: 99%",1,0.0535142949519778,0.0641278951667122,0.834493239063244,0.78028313274465,0.795931301130904,"12 Months"
"Large_Cap: 2%,  Fixed: 98%",2,0.054220699768619,0.0638456450467142,0.849246643666097,0.794574070417318,0.81031767345349,"12 Months"
"Large_Cap: 3%,  Fixed: 97%",3,0.0549228194521745,0.0636327298764978,0.863122163056212,0.808040449995861,0.823863402180292,"12 Months"
"Large_Cap: 4%,  Fixed: 96%",4,0.0556206648889308,0.0634898472106037,0.876056051992536,0.82062099585944,0.836506617207097,"12 Months"
"Large_Cap: 5%,  Fixed: 95%",5,0.0563142464610669,0.063417470410782,0.887992631940307,0.83226197514356,0.848193148429114,"12 Months"
"Large_Cap: 6%,  Fixed: 94%",6,0.0570035740578509,0.0634158408835297,0.898885408813619,0.842918270776608,0.858877609700562,"12 Months"
"Large_Cap: 7%,  Fixed: 93%",7,0.0576886570861248,0.0634849640766539,0.908697955888729,0.852554234736823,0.868524258529014,"12 Months"
"Large_Cap: 8%,  Fixed: 92%",8,0.0583695044801213,0.0636246093885774,0.917404523831945,0.861144284869076,0.877107594521782,"12 Months"
"Large_Cap: 9%,  Fixed: 91%",9,0.0590461247106493,0.0638343139938874,0.924990354189493,0.86867322212641,0.884612673384639,"12 Months"
"Large_Cap: 10%,  Fixed: 90%",10,0.0597185257936821,0.0641133904381722,0.931451688727516,0.875136260227928,0.891035128661356,"12 Months"
"Large_Cap: 11%,  Fixed: 89%",11,0.0603867152983812,0.0644609377147971,0.93679548326706,0.880538775111592,0.8963809090331,"12 Months"
"Large_Cap: 12%,  Fixed: 88%",12,0.0610507003545822,0.0648758554151738,0.941038849721325,0.884895795871832,0.900665753512242,"12 Months"
"Large_Cap: 13%,  Fixed: 87%",13,0.0617104876597707,0.0653568604495064,0.944208262688004,0.888231270942588,0.903914439086105,"12 Months"
"Large_Cap: 14%,  Fixed: 86%",14,0.0623660834855759,0.0659025057715418,0.946338576286836,0.89057715226222,0.906159844428295,"12 Months"
"Large_Cap: 15%,  Fixed: 85%",15,0.0630174936837959,0.0665112005101855,0.947471902482732,0.89197234556905,0.907441878729518,"12 Months"
"Large_Cap: 16%,  Fixed: 84%",16,0.0636647236919858,0.067181230911842,0.947656403847815,0.892461576763512,0.90780632644853,"12 Months"
"Large_Cap: 17%,  Fixed: 83%",17,0.0643077785386175,0.0679107815265037,0.9469450519211,0.892094222732973,0.907303657155988,"12 Months"
"Large_Cap: 18%,  Fixed: 82%",18,0.0649466628478363,0.0686979561227037,0.945394397641655,0.890923150742861,0.905987845227359,"12 Months"
"Large_Cap: 19%,  Fixed: 81%",19,0.0655813808438253,0.0695407978852664,0.943063393549586,0.889003604193161,0.903915237691126,"12 Months"
"Large_Cap: 20%,  Fixed: 80%",20,0.0662119363547933,0.0704373085288483,0.940012299414812,0.886392165018234,0.901143500864712,"12 Months"
"Large_Cap: 21%,  Fixed: 79%",21,0.0668383328166,0.0713854660434671,0.936301694463991,0.883145815025164,0.897730668280626,"12 Months"
"Large_Cap: 22%,  Fixed: 78%",22,0.0674605732760305,0.0723832408702731,0.931991611109744,0.879321110665454,0.893734304471806,"12 Months"
"Large_Cap: 23%,  Fixed: 77%",23,0.0680786603937278,0.0734286103825415,0.927140797559125,0.874973478609408,0.889210791947422,"12 Months"
"Large_Cap: 24%,  Fixed: 76%",24,0.068692596446795,0.0745195716152765,0.92180611023149,0.870156633369706,0.884214742478971,"12 Months"
"Large_Cap: 25%,  Fixed: 75%",25,0.069302383331078,0.075654152245093,0.916042031725667,0.864922113273231,0.878798528804704,"12 Months"
"Large_Cap: 26%,  Fixed: 74%",26,0.0699080225631299,0.0768304198694062,0.909900306180251,0.859318927348963,0.873011929087541,"12 Months"
"Large_Cap: 27%,  Fixed: 73%",27,0.0705095152818715,0.078046489670458,0.903429681201417,0.853393303124984,0.866901873865333,"12 Months"
"Large_Cap: 28%,  Fixed: 72%",28,0.0711068622499507,0.0793005305760227,0.896675743950829,0.847188523782211,0.860512283681732,"12 Months"
"Large_Cap: 29%,  Fixed: 71%",29,0.0717000638548029,0.0805907700458474,0.889680838314528,0.840744842430633,0.853883984911689,"12 Months"
"Large_Cap: 30%,  Fixed: 70%",30,0.0722891201094245,0.0819154976223226,0.882484050121,0.834099461276735,0.847054691315238,"12 Months"
"Large_Cap: 31%,  Fixed: 69%",31,0.0728740306528566,0.0832730673869347,0.875121247956939,0.827286563963752,0.840059039388812,"12 Months"
"Large_Cap: 32%,  Fixed: 68%",32,0.0734547947503843,0.0846618994621035,0.86762516807533,0.820337390231187,0.832928666474101,"12 Months"
"Large_Cap: 33%,  Fixed: 67%",33,0.0740314112934548,0.0860804806923139,0.860025533059843,0.813280343122087,0.825692321693438,"12 Months"
"Large_Cap: 34%,  Fixed: 66%",34,0.0746038787993148,0.0875273646301228,0.852349195186892,0.806141120156266,0.81837600099703,"12 Months"
"Large_Cap: 35%,  Fixed: 65%",35,0.0751721954103688,0.0890011709426076,0.844620296724451,0.798942861101526,0.811003098846101,"12 Months"
"Large_Cap: 36%,  Fixed: 64%",36,0.075736358893258,0.0905005843428769,0.836860440661001,0.791706306152051,0.803594570255869,"12 Months"
"Large_Cap: 37%,  Fixed: 63%",37,0.0762963666376599,0.0920243531399989,0.829088866526325,0.784449959422183,0.796169098041343,"12 Months"
"Large_Cap: 38%,  Fixed: 62%",38,0.076852215654809,0.0935712874895629,0.821322627022539,0.777190253660308,0.788743261122746,"12 Months"
"Large_Cap: 39%,  Fixed: 61%",39,0.0774039025757343,0.0951402574164048,0.813576762116135,0.769941712968582,0.781331700642855,"12 Months"
"Large_Cap: 40%,  Fixed: 60%",40,0.077951423649212,0.0967301906710167,0.805864468047292,0.762717111076699,0.773947281423134,"12 Months"
"Large_Cap: 41%,  Fixed: 59%",41,0.0784947747394347,0.0983400704719539,0.798197259395101,0.755527623365354,0.766601246942536,"12 Months"
"Large_Cap: 42%,  Fixed: 58%",42,0.0790339513233858,0.099968933178226,0.790585122904962,0.748382971374512,0.759303366570081,"12 Months"
"Large_Cap: 43%,  Fixed: 57%",43,0.0795689484879216,0.101615865928223,0.783036662248452,0.741291558973679,0.752062074230144,"12 Months"
"Large_Cap: 44%,  Fixed: 56%",44,0.0800997609265544,0.103280004275167,0.77555923325822,0.734260599726824,0.74488459803934,"12 Months"
"Large_Cap: 45%,  Fixed: 55%",45,0.0806263829359277,0.104960529843369,0.7681590694735,0.727296235265261,0.737777080737631,"12 Months"
"Large_Cap: 46%,  Fixed: 54%",46,0.0811488084119822,0.106656668024597,0.760841398057439,0.720403644698557,0.730744690955217,"12 Months"
"Large_Cap: 47%,  Fixed: 53%",47,0.0816670308458016,0.108367685729665,0.753610546316628,0.713587145256775,0.723791725521347,"12 Months"
"Large_Cap: 48%,  Fixed: 52%",48,0.0821810433191323,0.110092889206724,0.746470039175908,0.706850284476506,0.716921703141043,"12 Months"
"Large_Cap: 49%,  Fixed: 51%",49,0.0826908384995677,0.111831621934723,0.739422688046455,0.700195924326224,0.710137449849083,"12 Months"
"Large_Cap: 50%,  Fixed: 50%",50,0.0831964086353878,0.113583262597989,0.732470671579925,0.693626317720871,0.703441176704717,"12 Months"
"Large_Cap: 51%,  Fixed: 49%",51,0.0836977455500421,0.115347223145781,0.725615608832307,0.687143177907056,0.696834550221839,"12 Months"
"Large_Cap: 52%,  Fixed: 48%",52,0.084194840636268,0.117122946938966,0.718858625373753,0.680747741214231,0.690318756042534,"12 Months"
"Large_Cap: 53%,  Fixed: 47%",53,0.0846876848498279,0.11890990698457,0.712200412879115,0.674440823667537,0.683894556361747,"12 Months"
"Large_Cap: 54%,  Fixed: 46%",54,0.085176268702855,0.120707604257878,0.705641282722218,0.668222871948516,0.677562341600374,"12 Months"
"Large_Cap: 55%,  Fixed: 45%",55,0.085660582256792,0.122515566110842,0.699181214077673,0.662094009173086,0.671322176806556,"12 Months"
"Large_Cap: 56%,  Fixed: 44%",56,0.0861406151149053,0.124333344764909,0.692819897009775,0.656054075934377,0.665173843242347,"12 Months"
"Large_Cap: 57%,  Fixed: 43%",57,0.0866163564143625,0.126160515885857,0.686556771000588,0.650102667033093,0.659116875587125,"12 Months"
"Large_Cap: 58%,  Fixed: 42%",58,0.087087794817849,0.127996677237839,0.680391059339964,0.6442391642912,0.653150595161511,"12 Months"
"Large_Cap: 59%,  Fixed: 41%",59,0.0875549185047082,0.129841447413589,0.674321799770271,0.638462765817027,0.647274139547161,"12 Months"
"Large_Cap: 60%,  Fixed: 40%",60,0.0880177151615824,0.131694464637547,0.668347871748652,0.632772512062298,0.641486488949369,"12 Months"
"Large_Cap: 61%,  Fixed: 39%",61,0.088476171972532,0.133555385638582,0.66246802066043,0.627167308984302,0.635786489621732,"12 Months"
"Large_Cap: 62%,  Fixed: 38%",62,0.0889302756086072,0.135423884588934,0.656680879289103,0.62164594860041,0.630172874645231,"12 Months"
"Large_Cap: 63%,  Fixed: 37%",63,0.0893800122168487,0.137299652106004,0.650984986821685,0.616207127197039,0.624644282328682,"12 Months"
"Large_Cap: 64%,  Fixed: 36%",64,0.0898253674086835,0.139182394313679,0.645378805642916,0.610849461431739,0.619199272473455,"12 Months"
"Large_Cap: 65%,  Fixed: 35%",65,0.090266326247691,0.141071831959939,0.639860736148406,0.605571502545017,0.61383634072287,"12 Months"
"Large_Cap: 66%,  Fixed: 34%",66,0.0907028732367023,0.14296769958758,0.634429129784935,0.600371748878029,0.60855393119585,"12 Months"
"Large_Cap: 67%,  Fixed: 33%",67,0.0911349923041977,0.14486974475501,0.629082300505994,0.595248656873414,0.603350447585118,"12 Months"
"Large_Cap: 68%,  Fixed: 32%",68,0.0915626667899645,0.146777727304197,0.623818534812172,0.590200650719049,0.598224262882452,"12 Months"
"Large_Cap: 69%,  Fixed: 31%",69,0.0919858794299728,0.14869141867295,0.618636100529093,0.585226130778643,0.593173727877371,"12 Months"
"Large_Cap: 70%,  Fixed: 30%",70,0.0924046123404252,0.150610601248884,0.613533254460134,0.580323480938439,0.5881971785607,"12 Months"
"Large_Cap: 71%,  Fixed: 29%",71,0.092818847000931,0.152535067762505,0.608508249037189,0.575491074986073,0.583292942551028,"12 Months"
"Large_Cap: 72%,  Fixed: 28%",72,0.0932285642367516,0.154464620717043,0.603559338079966,0.57072728212552,0.578459344649789,"12 Months"
"Large_Cap: 73%,  Fixed: 27%",73,0.0936337442000637,0.156399071852726,0.598684781762864,0.566030471721142,0.573694711619583,"12 Months"
"Large_Cap: 74%,  Fixed: 26%",74,0.0940343663501739,0.15833824164337,0.593882850877998,0.561399017353926,0.568997376270301,"12 Months"
"Large_Cap: 75%,  Fixed: 25%",75,0.0944304094326229,0.160281958823258,0.589151830473639,0.556831300263971,0.564365680928488,"12 Months"
"Large_Cap: 76%,  Fixed: 24%",76,0.0948218514571026,0.162230059942395,0.584490022938857,0.55232571224524,0.559797980357223,"12 Months"
"Large_Cap: 77%,  Fixed: 23%",77,0.0952086696741117,0.164182388948364,0.579895750597559,0.547880658051131,0.555292644186268,"12 Months"
"Large_Cap: 78%,  Fixed: 22%",78,0.0955908405502599,0.166138796793093,0.575367357868299,0.543494557362871,0.55084805890565,"12 Months"
"Large_Cap: 79%,  Fixed: 21%",79,0.0959683397421338,0.168099141062967,0.570903213040128,0.53916584636663,0.546462629469672,"12 Months"
"Large_Cap: 80%,  Fixed: 20%",80,0.0963411420686155,0.170063285630804,0.566501709709206,0.534892978979811,0.542134780552939,"12 Months"
"Large_Cap: 81%,  Fixed: 19%",81,0.0967092214815517,0.172031100328306,0.562161267916039,0.530674427762005,0.537862957495017,"12 Months"
"Large_Cap: 82%,  Fixed: 18%",82,0.0970725510346457,0.174002460637708,0.557880335018719,0.526508684541501,0.533645626965751,"12 Months"
"Large_Cap: 83%,  Fixed: 17%",83,0.0974311028504458,0.175977247401397,0.55365738633364,0.522394260784165,0.529481277379296,"12 Months"
"Large_Cap: 84%,  Fixed: 16%",84,0.0977848480852808,0.17795534654838,0.549490925571581,0.518329687727517,0.525368419081025,"12 Months"
"Large_Cap: 85%,  Fixed: 15%",85,0.09813375689199,0.179936648836533,0.545379485093899,0.514313516299398,0.52130558432808,"12 Months"
"Large_Cap: 86%,  Fixed: 14%",86,0.0984777983802674,0.181921049609647,0.5413216260107,0.510344316837126,0.517291327081114,"12 Months"
"Large_Cap: 87%,  Fixed: 13%",87,0.0988169405744341,0.183908448568345,0.537315938140336,0.506420678619901,0.513324222621748,"12 Months"
"Large_Cap: 88%,  Fixed: 12%",88,0.0991511503684237,0.185898749554003,0.533361039847235,0.502541209224095,0.509402867007399,"12 Months"
"Large_Cap: 89%,  Fixed: 11%",89,0.0994803934777533,0.187891860344865,0.529455577773102,0.498704533707996,0.505525876372438,"12 Months"
"Large_Cap: 90%,  Fixed: 10%",90,0.0998046343882177,0.189887692463605,0.525598226474562,0.494909293629552,0.501691886081886,"12 Months"
"Large_Cap: 91%,  Fixed: 9%",91,0.100123836301026,0.19188616099562,0.521787687978764,0.491154145897451,0.497899549741245,"12 Months"
"Large_Cap: 92%,  Fixed: 8%",92,0.100437961074062,0.193887184417403,0.518022691266886,0.487437761452646,0.49414753806329,"12 Months"
"Large_Cap: 93%,  Fixed: 7%",93,0.100746969158923,0.195890684434367,0.514301991694141,0.483758823773814,0.49043453758983,"12 Months"
"Large_Cap: 94%,  Fixed: 6%",94,0.101050819533339,0.197896585827567,0.510624370353652,0.48011602719638,0.486759249263417,"12 Months"
"Large_Cap: 95%,  Fixed: 5%",95,0.10134946962854,0.199904816308754,0.506988633390429,0.476508075030304,0.483120386840681,"12 Months"
"Large_Cap: 96%,  Fixed: 4%",96,0.101642875251089,0.201915306383276,0.503393611270613,0.472933677456792,0.479516675135285,"12 Months"
"Large_Cap: 97%,  Fixed: 3%",97,0.101930990498627,0.203927989220346,0.499838158010227,0.469391549178182,0.475946848074291,"12 Months"
"Large_Cap: 98%,  Fixed: 2%",98,0.102213767668919,0.205942800530247,0.496321150366736,0.465880406788206,0.472409646546893,"12 Months"
"Large_Cap: 99%,  Fixed: 1%",99,0.102491157161518,0.207959678448046,0.49284148699587,0.462398965821335,0.468903816018683,"12 Months"
"Large_Cap: 100%,  Fixed: 0%",100,0.102763107371258,0.209978563423447,0.489398087575366,0.458945937429538,0.465428103877759,"12 Months"
