"Allocation","Num","mean","std","rrr","sharpe1","sharpe2","sharpe3","sharpe4","type"
"Large_Cap: 0%,  Fixed: 100%",0,0.71131577576433,0.569923949505263,1.24808893604455,1.22180653036172,1.23972653213122,1.52095702884206,1.74770511225042,"120 Months"
"Large_Cap: 1%,  Fixed: 99%",1,0.725396221945199,0.567244006079791,1.27880808641486,1.25117288079108,1.26903037072722,1.55771389459414,1.79134661922652,"120 Months"
"Large_Cap: 2%,  Fixed: 98%",2,0.739289049146307,0.564881091472227,1.30875162986874,1.27980773397102,1.29760310381191,1.59306168350021,1.83305040376483,"120 Months"
"Large_Cap: 3%,  Fixed: 97%",3,0.753003580415219,0.562839198553095,1.33786627219814,1.30765757300467,1.32539053827477,1.62688911625635,1.87263237138275,"120 Months"
"Large_Cap: 4%,  Fixed: 96%",4,0.766548294954464,0.561121831876605,1.36609957304786,1.33466991559377,1.35233958305767,1.65909231363454,1.90992259826874,"120 Months"
"Large_Cap: 5%,  Fixed: 95%",5,0.779930933406168,0.559731978579799,1.39340070471778,1.36079402272397,1.37839895624932,1.68957672796764,1.94476922203034,"120 Months"
"Large_Cap: 6%,  Fixed: 94%",6,0.793158586399678,0.558672083011839,1.41972117547687,1.38598157731264,1.40351986249858,1.71825887766341,1.97704188994918,"120 Months"
"Large_Cap: 7%,  Fixed: 93%",7,0.806237769565329,0.557944025583526,1.44501550800212,1.4101873228224,1.42765663053933,1.74506783009236,2.00663461332113,"120 Months"
"Large_Cap: 8%,  Fixed: 92%",8,0.819174487506099,0.55754910625661,1.46924186284872,1.43336965136516,1.45076730018133,1.76994638641118,2.03346790423196,"120 Months"
"Large_Cap: 9%,  Fixed: 91%",9,0.831974288685922,0.55748803300732,1.49236259691156,1.45549113102936,1.47281414836492,1.79285193335802,2.05749010921687,"120 Months"
"Large_Cap: 10%,  Fixed: 90%",10,0.844642312789569,0.557760915501282,1.51434474757066,1.47651896299126,1.49376414473809,1.81375694089043,2.07867789914042,"120 Months"
"Large_Cap: 11%,  Fixed: 89%",11,0.857183331799291,0.558367264111103,1.5351604345285,1.49642536033848,1.51358932861177,1.83264909964875,2.09703592201802,"120 Months"
"Large_Cap: 12%,  Fixed: 88%",12,0.869601785793773,0.559305994297075,1.55478717314066,1.51518784234267,1.53226710098619,1.84953110745609,2.11259567091174,"120 Months"
