"Allocation","Num","mean","std","rrr","sharpe1","sharpe2","sharpe3","sharpe4","type"
"Large_Cap: 0%,  Fixed: 100%",0,0.00424989652985963,0.0147525155698295,0.288079447179241,0.270402188305485,0.272008584905544,0.2678799827123,0.26924274930902,"Monthly"
"Large_Cap: 1%,  Fixed: 99%",1,0.00430234823199593,0.0146895738757028,0.292884481769223,0.275120786149785,0.276734251805473,0.272339365066768,0.273705973630352,"Monthly"
"Large_Cap: 2%,  Fixed: 98%",2,0.00435451227448413,0.0146461865514267,0.29731372457904,0.279486625421911,0.281105058302619,0.276447302789661,0.277816688633403,"Monthly"
"Large_Cap: 3%,  Fixed: 97%",3,0.00440638875912658,0.0146225276606492,0.301342480683736,0.283475683127997,0.285096923467627,0.280182894125348,0.281553974527352,"Monthly"
"Large_Cap: 4%,  Fixed: 96%",4,0.00445797778220758,0.0146186929891664,0.304950503133986,0.287068105150362,0.288689960704596,0.283529395848682,0.284901074312933,"Monthly"
"Large_Cap: 5%,  Fixed: 95%",5,0.00450927943453139,0.0146346981203697,0.308122476968284,0.290248677738469,0.291868950315465,0.286474590955458,0.287845761736229,"Monthly"
"Large_Cap: 6%,  Fixed: 94%",6,0.00456029380146061,0.0146704781201907,0.310848342098978,0.293007147583761,0.294623659764632,0.28901100902942,0.290380562047945,"Monthly"
"Large_Cap: 7%,  Fixed: 93%",7,0.00461102096295263,0.0147258888462948,0.313123439344227,0.295338374917854,0.296948996070679,0.291135990162588,0.292502816413722,"Monthly"
"Large_Cap: 8%,  Fixed: 92%",8,0.0046614609935951,0.0148007098204668,0.314948475454137,0.297242315006229,0.298844985743804,0.292851593305864,0.294214590799996,"Monthly"
"Large_Cap: 9%,  Fixed: 91%",9,0.00471161396263975,0.0148946485323988,0.316329314679098,0.298723834517018,0.300316588848428,0.294164359550681,0.295522439769433,"Monthly"
"Large_Cap: 10%,  Fixed: 90%",10,0.00476147993403608,0.0150073459830682,0.317276615026278,0.299792379363241,0.301373363931597,0.295084949135217,0.29643704390783,"Monthly"
"Large_Cap: 11%,  Fixed: 89%",11,0.00481105896646294,0.0151383832308846,0.317805335819987,0.300461518761407,0.302029008731985,0.295627677193343,0.296972745835655,"Monthly"
"Large_Cap: 12%,  Fixed: 88%",12,0.00486035111336047,0.0152872886763003,0.317934148839317,0.300748395757617,0.302300807104792,0.295809977000135,0.29714701350762,"Monthly"
"Large_Cap: 13%,  Fixed: 87%",13,0.00490935642295942,0.0154535458111641,0.317684787876499,0.300673117066625,0.302209015189516,0.295651820631137,0.296979860688103,"Monthly"
"Large_Cap: 14%,  Fixed: 86%",14,0.0049580749383098,0.0156366011665179,0.317081371169481,0.300258114852196,0.301776219614217,0.295175125766214,0.296493253327674,"Monthly"
"Large_Cap: 15%,  Fixed: 85%",15,0.00500650669730973,0.0158358722141076,0.316149728263759,0.299527510465194,0.301026697890993,0.294403174288103,0.295710527507136,"Monthly"
"Large_Cap: 16%,  Fixed: 84%",16,0.00505465173273234,0.0160507550090373,0.314916758114266,0.298506505765807,0.299985806735494,0.293360063932332,0.29465584024146,"Monthly"
"Large_Cap: 17%,  Fixed: 83%",17,0.00510251007225104,0.0162806313998113,0.3134098393942,0.297220822192511,0.298679418544297,0.292070209155494,0.293353669358737,"Monthly"
"Large_Cap: 18%,  Fixed: 82%",18,0.00515008173846487,0.0165248756736837,0.311656307748597,0.295696201877894,0.297133420368376,0.290557902161463,0.291828373448835,"Monthly"
"Large_Cap: 19%,  Fixed: 81%",19,0.0051973667489229,0.0167828605464825,0.309683008717618,0.293957979424887,0.295373284004767,0.288846940113386,0.290103817965309,"Monthly"
"Large_Cap: 20%,  Fixed: 80%",20,0.00524436511614712,0.0170539624443251,0.307515929700681,0.292030727870946,0.29342371071814,0.286960320279949,0.28820306928029,"Monthly"
"Large_Cap: 21%,  Fixed: 79%",21,0.00529107684765462,0.0173375660581298,0.305179909908609,0.28993797814426,0.291308349863016,0.284920001396069,0.286148155016372,"Monthly"
"Large_Cap: 22%,  Fixed: 78%",22,0.00533750194597871,0.0176330681795703,0.302698423871731,0.287702008072578,0.289049587421179,0.282746726922927,0.283959886373828,"Monthly"
"Large_Cap: 23%,  Fixed: 77%",23,0.00538364040868977,0.017939880848783,0.300093431727278,0.285343694735839,0.286668398193436,0.280459904136152,0.281657736405508,"Monthly"
"Large_Cap: 24%,  Fixed: 76%",24,0.00542949222841416,0.0182574338599235,0.297385288100773,0.282882422571427,0.284184253999801,0.278077531960703,0.279259767170861,"Monthly"
"Large_Cap: 25%,  Fixed: 75%",25,0.0054750573928537,0.0185851766811141,0.294592700774126,0.280336039005655,0.281615079608869,0.275616170076335,0.276782598297559,"Monthly"
"Large_Cap: 26%,  Fixed: 74%",26,0.00552033588480194,0.0189225798511928,0.291732730326091,0.277720849338844,0.27897724807431,0.273090941899456,0.274241409553528,"Monthly"
"Large_Cap: 27%,  Fixed: 73%",27,0.005565327682163,0.0192691359178117,0.288820822371106,0.275051642993709,0.276285607544253,0.270515564468824,0.271649970448513,"Monthly"
"Large_Cap: 28%,  Fixed: 72%",28,0.00561003275796534,0.0196243599806779,0.285870864756302,0.27234174390543,0.273553532283897,0.267902398905343,0.269020690523158,"Monthly"
"Large_Cap: 29%,  Fixed: 71%",29,0.0056544510803791,0.0199877899008659,0.282895262979233,0.269603078664811,0.270792991491459,0.265262515879942,0.266364684745587,"Monthly"
"Large_Cap: 30%,  Fixed: 70%",30,0.00569858261272871,0.0203589862328377,0.279905028057697,0.266846256929354,0.268014630396578,0.262605771332188,0.263691849242658,"Monthly"
"Large_Cap: 31%,  Fixed: 69%",31,0.0057424273135076,0.0207375319306418,0.276909872048109,0.264080659520303,0.265227859039277,0.259940888479437,0.261010943390468,"Monthly"
"Large_Cap: 32%,  Fixed: 68%",32,0.00578598513639017,0.0211230318741818,0.273918307317533,0.261314530478389,0.262440944987362,0.257275542903845,0.258329675037108,"Monthly"
"Large_Cap: 33%,  Fixed: 67%",33,0.00582925603024376,0.0215151122557797,0.270937746498525,0.258555070128191,0.259661107031378,0.254616448180231,0.255654786307425,"Monthly"
"Large_Cap: 34%,  Fixed: 66%",34,0.00587223993914043,0.0219134198617583,0.267974600778231,0.255808526884817,0.256894607583429,0.251969440100079,0.252992138033215,"Monthly"
"Large_Cap: 35%,  Fixed: 65%",35,0.0059149368023661,0.022317621278586,0.265034374789823,0.253080286121397,0.2541468420943,0.249339558052069,0.2503467913595,"Monthly"
"Large_Cap: 36%,  Fixed: 64%",36,0.00595734655443092,0.0227274020483839,0.262121756888379,0.250374954905295,0.251422424294218,0.246731122541791,0.247723085500682,"Monthly"
"Large_Cap: 37%,  Fixed: 63%",37,0.00599946912507754,0.0231424657943178,0.259240704011351,0.247696441809451,0.248725266463638,0.244147808176748,0.245124710966169,"Monthly"
"Large_Cap: 38%,  Fixed: 62%",38,0.0060413044392893,0.0235625333326289,0.256394520657226,0.245048031324962,0.246058654260666,0.241592711718434,0.242554777851419,"Monthly"
"Large_Cap: 39%,  Fixed: 61%",39,0.00608285241729689,0.0239873417847647,0.253585931775081,0.24243245264955,0.243425315881753,0.239068415017486,0.240015879006415,"Monthly"
"Large_Cap: 40%,  Fixed: 60%",40,0.00612411297458526,0.0244166437002465,0.250817149554565,0.23985194281652,0.240827485522521,0.236577042811919,0.237510148058279,"Monthly"
"Large_Cap: 41%,  Fixed: 59%",41,0.00616508602189958,0.0248502061985057,0.248089934250537,0.237308304269338,0.238266961246606,0.234120315489822,0.235039312387217,"Monthly"
"Large_Cap: 42%,  Fixed: 58%",42,0.00620577146524859,0.0252878101359036,0.245405649279122,0.234802957087085,0.235745157470706,0.231699597004518,0.232604741242264,"Monthly"
"Large_Cap: 43%,  Fixed: 57%",43,0.00624616920591015,0.0257292493024682,0.242765310891171,0.232336986134218,0.233263152342277,0.229315938189252,0.230207489243053,"Monthly"
"Large_Cap: 44%,  Fixed: 56%",44,0.00628627914043456,0.0261743296515003,0.240169632771253,0.229911183450745,0.230821730328977,0.226970115755494,0.227848335551331,"Monthly"
"Large_Cap: 45%,  Fixed: 55%",45,0.00632610116064591,0.0266228685640757,0.237619065932745,0.22752608622249,0.228421420362308,0.224662667279443,0.225527819016719,"Monthly"
"Large_Cap: 46%,  Fixed: 54%",46,0.00636563515364519,0.027074694149565,0.235113834286747,0.225182010679298,0.226062529886128,0.22239392248843,0.223246269608778,"Monthly"
"Large_Cap: 47%,  Fixed: 53%",47,0.00640488100181091,0.0275296445825718,0.232653966258092,0.222879082267187,0.223745175158513,0.220164031157276,0.221003836445894,"Monthly"
"Large_Cap: 48%,  Fixed: 52%",48,0.0064438385827994,0.0279875674761268,0.230239322809885,0.220617262430284,0.221469308145055,0.217972987915789,0.218800512722705,"Monthly"
"Large_Cap: 49%,  Fixed: 51%",49,0.00648250776954473,0.0284483192905411,0.227869622220534,0.218396372323006,0.219234740326463,0.215820654255079,0.21663615782471,"Monthly"
"Large_Cap: 50%,  Fixed: 50%",50,0.006520888430257,0.0289117647769933,0.225544461936341,0.216216113754578,0.217041163724091,0.21370677800422,0.214510516902019,"Monthly"
"Large_Cap: 51%,  Fixed: 49%",51,0.00655898042842185,0.0293777764546877,0.223263337800205,0.21407608764697,0.214888169426674,0.211631010530289,0.212423238156489,"Monthly"
"Large_Cap: 52%,  Fixed: 48%",52,0.00659678362279603,0.0298462341202506,0.221025660933221,0.211975810266201,0.212775263879415,0.209592921896158,0.210373888077076,"Monthly"
"Large_Cap: 53%,  Fixed: 47%",53,0.00663429786740566,0.0303170243879212,0.218830772522942,0.209914727465149,0.210701883175152,0.207592014191124,0.208361964839454,"Monthly"
"Large_Cap: 54%,  Fixed: 46%",54,0.0066715230115415,0.0307900402590287,0.216677956748861,0.20789222715492,0.208667405565833,0.205627733230733,0.20638691006699,"Monthly"
"Large_Cap: 55%,  Fixed: 45%",55,0.00670845889975413,0.0312651807192154,0.214566452054159,0.205907650201676,0.206671162392378,0.203699478804299,0.204448119132331,"Monthly"
"Large_Cap: 56%,  Fixed: 44%",56,0.0067451053718488,0.031742350361868,0.212495460952119,0.203960299926728,0.204712447611576,0.201806613631576,0.202544950161654,"Monthly"
"Large_Cap: 57%,  Fixed: 43%",57,0.00678146226287946,0.0322214590362349,0.210464158536499,0.202049450369682,0.20279052608071,0.199948471173958,0.20067673188763,"Monthly"
"Large_Cap: 58%,  Fixed: 42%",58,0.00681752940314073,0.032702421518746,0.208471699847448,0.200174353458066,0.20090464074421,0.19812436243097,0.198842770482562,"Monthly"
"Large_Cap: 59%,  Fixed: 41%",59,0.00685330661816108,0.0331851572060991,0.206517226228523,0.198334245211744,0.199054018851032,0.196333581839239,0.197042355489208,"Monthly"
"Large_Cap: 60%,  Fixed: 40%",60,0.00688879372869478,0.0336695898287324,0.20459987079546,0.196528351096361,0.197237877317851,0.194575412378502,0.195274764954552,"Monthly"
"Large_Cap: 61%,  Fixed: 39%",61,0.00692399055071169,0.034155647183364,0.202718763124012,0.194755890627861,0.195455427340397,0.192849129978219,0.193539269860401,"Monthly"
"Large_Cap: 62%,  Fixed: 38%",62,0.0069588968953882,0.0346432608833463,0.20087303325229,0.19301608131839,0.193705878343855,0.191154007307793,0.191835137934334,"Monthly"
"Large_Cap: 63%,  Fixed: 37%",63,0.00699351256909631,0.0351323661256475,0.199061815081987,0.191308142044094,0.191988441353015,0.189489317024493,0.190161636915325,"Monthly"
"Large_Cap: 64%,  Fixed: 36%",64,0.00702783737339208,0.03562290147334,0.197284249253298,0.189631295905847,0.190302331853757,0.187854334544645,0.188518037340111,"Monthly"
"Large_Cap: 65%,  Fixed: 35%",65,0.00706187110500411,0.0361148086525435,0.195539485559666,0.187984772645879,0.188646772208937,0.186248340396275,0.186903614908664,"Monthly"
"Large_Cap: 66%,  Fixed: 34%",66,0.00709561355582045,0.0366080323628321,0.193826684960664,0.18636781067609,0.187020993684815,0.184670622204906,0.185317652480786,"Monthly"
"Large_Cap: 67%,  Fixed: 33%",67,0.00712906451287432,0.0371025201001805,0.192145021244518,0.184779658767014,0.18542423813714,0.183120476357936,0.183759441749493,"Monthly"
"Large_Cap: 68%,  Fixed: 32%",68,0.00716222375833131,0.0375982219915812,0.1904936823857,0.183219577440954,0.1838557594006,0.181597209388085,0.182228284631879,"Monthly"
"Large_Cap: 69%,  Fixed: 31%",69,0.00719509106947269,0.0380950906405266,0.188871871637401,0.181686840107426,0.182314824419991,0.180100139111479,0.18072349441326,"Monthly"
"Large_Cap: 70%,  Fixed: 30%",70,0.00722766621868032,0.0385930809825991,0.187278808394156,0.180180733974504,0.180800714156738,0.178628595551706,0.179244396676058,"Monthly"
"Large_Cap: 71%,  Fixed: 29%",71,0.00725994897342019,0.0390921501504684,0.185713728855439,0.178700560765867,0.17931272430074,0.177181921677783,0.177790330041537,"Monthly"
"Large_Cap: 72%,  Fixed: 28%",72,0.00729193909622472,0.0395922573476415,0.184175886517345,0.177245637269384,0.177850165813478,0.17575947398024,0.176360646748762,"Monthly"
"Large_Cap: 73%,  Fixed: 27%",73,0.0073236363446747,0.0400933637303578,0.182664552516191,0.175815295740254,0.176412365325406,0.174360622906977,0.174954713092467,"Monthly"
"Large_Cap: 74%,  Fixed: 26%",74,0.00735504047138047,0.0405954322970635,0.181179015844906,0.174408884178746,0.17499866540787,0.172984753177767,0.173571909738949,"Monthly"
"Large_Cap: 75%,  Fixed: 25%",75,0.00738615122396169,0.0410984277849403,0.179718583460465,0.173025766500167,0.173608424737126,0.171631263994067,0.172211631936625,"Monthly"
"Large_Cap: 76%,  Fixed: 24%",76,0.00741696834502781,0.0416023165730015,0.178282580298453,0.171665322612516,0.17224101816602,0.170299569158755,0.170873289636019,"Monthly"
"Large_Cap: 77%,  Fixed: 23%",77,0.00744749157215585,0.0421070665913017,0.17687034920866,0.170326948415393,0.170895836716906,0.16898909711868,0.169556307532082,"Monthly"
"Large_Cap: 78%,  Fixed: 22%",78,0.00747772063786889,0.0426126472358405,0.175481250824041,0.169010055731949,0.169572287507674,0.167699290941221,0.168260125040197,"Monthly"
"Large_Cap: 79%,  Fixed: 21%",79,0.00750765526961272,0.0431190292887706,0.174114663373647,0.167714072184286,0.168269793621297,0.166429608234795,0.166984196215796,"Monthly"
"Large_Cap: 80%,  Fixed: 20%",80,0.00753729518973278,0.0436261848435469,0.172769982448917,0.16643844102136,0.166987793927914,0.16517952102196,0.16572798962626,"Monthly"
"Large_Cap: 81%,  Fixed: 19%",81,0.00756664011544839,0.0441340872346827,0.171446620731337,0.165182620907273,0.165725742867475,0.16394851557267,0.16449098818281,"Monthly"
"Large_Cap: 82%,  Fixed: 18%",82,0.00759568975882918,0.0446427109717995,0.170144007688676,0.163946085676793,0.164483110199717,0.162736092204274,0.163272688938917,"Monthly"
"Large_Cap: 83%,  Fixed: 17%",83,0.00762444382676675,0.0451520316776829,0.168861589245723,0.162728324064202,0.163259380727575,0.16154176505411,0.162072602861164,"Monthly"
