"Allocation","Num","mean","std","rrr","sharpe1","sharpe2","sharpe3","sharpe4","sharpe5","sharpe6","type"
"Large_Cap: 0%,  Fixed: 100%",0,0.0528035935999083,0.0644785697172385,0.818932458202328,0.765235209957156,-0.189128527198827,0.0248570421016946,0.784824256283364,-0.147100991379051,0.109872616235128,"12 Months"
"Large_Cap: 1%,  Fixed: 99%",1,0.0535142949519778,0.0641278951667122,0.834493239063244,0.78028313274465,-0.179117180135991,0.0258175441967318,0.797971801285027,-0.138931227467252,0.113952046435133,"12 Months"
"Large_Cap: 2%,  Fixed: 98%",2,0.054220699768619,0.0638456450467142,0.849246643666097,0.794574070417318,-0.168882590074984,0.0267553451979851,0.810192635325604,-0.130684493883422,0.117882858762365,"12 Months"
"Large_Cap: 3%,  Fixed: 97%",3,0.0549228194521745,0.0636327298764978,0.863122163056212,0.808040449995861,-0.158452350512795,0.0276667234251301,0.821436987268512,-0.122375839994907,0.121646416566197,"12 Months"
"Large_Cap: 4%,  Fixed: 96%",4,0.0556206648889308,0.0634898472106037,0.876056051992536,0.82062099585944,-0.14785686263136,0.0285481150170746,0.83166461050389,-0.114020947971263,0.125225857358117,"12 Months"
"Large_Cap: 5%,  Fixed: 95%",5,0.0563142464610669,0.063417470410782,0.887992631940307,0.83226197514356,-0.137128917572397,0.0293961792829945,0.840845502389166,-0.105635985415351,0.128606464957112,"12 Months"
"Large_Cap: 6%,  Fixed: 94%",6,0.0570035740578509,0.0634158408835297,0.898885408813619,0.842918270776608,-0.12630319963512,0.0302078598073283,0.848960332767929,-0.0972374481044069,0.131775970631503,"12 Months"
"Large_Cap: 7%,  Fixed: 93%",7,0.0576886570861248,0.0634849640766539,0.908697955888729,0.852554234736823,-0.115415727336422,0.0309804387839107,0.85600056797537,-0.0888419963724612,0.134724768971741,"12 Months"
"Large_Cap: 8%,  Fixed: 92%",8,0.0583695044801213,0.0636246093885774,0.917404523831945,0.861144284869076,-0.104503253069589,0.0317115823596832,0.861968293565739,-0.0804662888950658,0.137446040007522,"12 Months"
"Large_Cap: 9%,  Fixed: 91%",9,0.0590461247106493,0.0638343139938874,0.924990354189493,0.86867322212641,-0.0936026445291809,0.0323993752340045,0.866875755032424,-0.0721268177122214,0.139935775424903,"12 Months"
"Large_Cap: 10%,  Fixed: 90%",10,0.0597185257936821,0.0641133904381722,0.931451688727516,0.875136260227928,-0.0827502719055403,0.0330423433465943,0.870744649668054,-0.0638397482419329,0.14219271295488,"12 Months"
"Large_Cap: 11%,  Fixed: 89%",11,0.0603867152983812,0.0644609377147971,0.93679548326706,0.880538775111592,-0.071981424032673,0.0336394641424052,0.873605213377047,-0.0556207678020088,0.144218188454757,"12 Months"
"Large_Cap: 12%,  Fixed: 88%",12,0.0610507003545822,0.0648758554151738,0.941038849721325,0.884895795871832,-0.0613297743151319,0.0341901645672597,0.875495153077784,-0.0474849457876792,0.146015919402915,"12 Months"
"Large_Cap: 13%,  Fixed: 87%",13,0.0617104876597707,0.0653568604495064,0.944208262688004,0.888231270942588,-0.0508269136357684,0.0346943075665872,0.876458478144296,-0.0394466081714508,0.147591736193451,"12 Months"
"Large_Cap: 14%,  Fixed: 86%",14,0.0623660834855759,0.0659025057715418,0.946338576286836,0.89057715226222,-0.0405019629427928,0.035152168382823,0.876544283391736,-0.0315192284292362,0.148953278689719,"12 Months"
"Large_Cap: 15%,  Fixed: 85%",15,0.0630174936837959,0.0665112005101855,0.947471902482732,0.89197234556905,-0.0303812732739787,0.0355644023404516,0.875805531991384,-0.0237153363861814,0.150109675109888,"12 Months"
"Large_Cap: 16%,  Fixed: 84%",16,0.0636647236919858,0.067181230911842,0.947656403847815,0.892461576763512,-0.0204882160381189,0.0359320060533512,0.874297880208827,-0.0160464458500621,0.151071218751435,"12 Months"
"Large_Cap: 17%,  Fixed: 83%",17,0.0643077785386175,0.0679107815265037,0.9469450519211,0.892094222732973,-0.0108430618258088,0.0362562740855515,0.872078577875492,-0.00852300129129591,0.15184905567026,"12 Months"
"Large_Cap: 18%,  Fixed: 82%",18,0.0649466628478363,0.0686979561227037,0.945394397641655,0.890923150742861,-0.00146294215912616,0.0365387530569402,0.869205469882579,-0.00115434326375985,0.152454893585383,"12 Months"
"Large_Cap: 19%,  Fixed: 81%",19,0.0655813808438253,0.0695407978852664,0.943063393549586,0.889003604193161,0.00763811440034766,0.0367811950333108,0.865736115466301,0.00605130823829853,0.152900739316757,"12 Months"
"Large_Cap: 20%,  Fixed: 80%",20,0.0662119363547933,0.0704373085288483,0.940012299414812,0.886392165018234,0.0164490824071763,0.0369855118054186,0.86172703420748,0.0130868537093681,0.153198669250871,"12 Months"
"Large_Cap: 21%,  Fixed: 79%",21,0.0668383328166,0.0713854660434671,0.936301694463991,0.883145815025164,0.0249617876872236,0.0371537313754534,0.857233080884849,0.0199462988967818,0.153360634851374,"12 Months"
"Large_Cap: 22%,  Fixed: 78%",22,0.0674605732760305,0.0723832408702731,0.931991611109744,0.879321110665454,0.0331707155105257,0.0372879576616967,0.852306945811393,0.0266247261823655,0.153398303198516,"12 Months"
"Large_Cap: 23%,  Fixed: 77%",23,0.0680786603937278,0.0734286103825415,0.927140797559125,0.874973478609408,0.0410727903960379,0.0373903341277694,0.846998773106359,0.0331182545070522,0.153322930987155,"12 Months"
"Large_Cap: 24%,  Fixed: 76%",24,0.068692596446795,0.0745195716152765,0.92180611023149,0.870156633369706,0.0486671382402268,0.0374630117613062,0.841355886455176,0.0394239898230159,0.153145269324044,"12 Months"
"Large_Cap: 25%,  Fixed: 75%",25,0.069302383331078,0.075654152245093,0.916042031725667,0.864922113273231,0.0559548401914492,0.0375081215809897,0.835422610149619,0.0455399680436418,0.152875495990426,"12 Months"
"Large_Cap: 26%,  Fixed: 74%",26,0.0699080225631299,0.0768304198694062,0.909900306180251,0.859318927348963,0.0629386862295432,0.0375277516477993,0.829240172399757,0.0514650923859321,0.152523171506488,"12 Months"
"Large_Cap: 27%,  Fixed: 73%",27,0.0705095152818715,0.078046489670458,0.903429681201417,0.853393303124984,0.0696229348867461,0.0375239283981981,0.822846677869479,0.0571990668761902,0.152097215274107,"12 Months"
"Large_Cap: 28%,  Fixed: 72%",28,0.0711068622499507,0.0793005305760227,0.896675743950829,0.847188523782211,0.0760130840636371,0.0374986020021842,0.816277136914891,0.0627423276307077,0.151605898210635,"12 Months"
"Large_Cap: 29%,  Fixed: 71%",29,0.0717000638548029,0.0805907700458474,0.889680838314528,0.840744842430633,0.0821156565251075,0.0374536353735666,0.809563539923539,0.068095973341169,0.151056848554934,"12 Months"
"Large_Cap: 30%,  Fixed: 70%",30,0.0722891201094245,0.0819154976223226,0.882484050121,0.834099461276735,0.0879380024517984,0.0373907964175849,0.802734966312314,0.0732616962003769,0.150457067872972,"12 Months"
"Large_Cap: 31%,  Fixed: 69%",31,0.0728740306528566,0.0832730673869347,0.875121247956939,0.827286563963752,0.0934881203950029,0.0373117530859707,0.795817719021806,0.0782417143070725,0.149812954672822,"12 Months"
"Large_Cap: 32%,  Fixed: 68%",32,0.0734547947503843,0.0846618994621035,0.86762516807533,0.820337390231187,0.0987744971426978,0.037218070815394,0.788835476651601,0.0830387063964676,0.149130333426625,"12 Months"
"Large_Cap: 33%,  Fixed: 67%",33,0.0740314112934548,0.0860804806923139,0.860025533059843,0.813280343122087,0.103805966343814,0.03711121194619,0.781809456647934,0.087655749561566,0.148414487168536,"12 Months"
"Large_Cap: 34%,  Fixed: 66%",34,0.0746038787993148,0.0875273646301228,0.852349195186892,0.806141120156266,0.108591585240885,0.0369925367493405,0.774758584136594,0.0920962604633273,0.147670192179544,"12 Months"
"Large_Cap: 35%,  Fixed: 65%",35,0.0751721954103688,0.0890011709426076,0.844620296724451,0.798942861101526,0.113140528507437,0.036863305726678,0.76769966206318,0.0963639403780046,0.146901753574549,"12 Months"
"Large_Cap: 36%,  Fixed: 64%",36,0.075736358893258,0.0905005843428769,0.836860440661001,0.791706306152051,0.117461997953237,0.0367246828891736,0.760647539246341,0.100462724298777,0.146113040872387,"12 Months"
"Large_Cap: 37%,  Fixed: 63%",37,0.0762963666376599,0.0920243531399989,0.829088866526325,0.784449959422183,0.121565146725626,0.0365777397580473,0.753615273763963,0.104396734196557,0.145307522853835,"12 Months"
"Large_Cap: 38%,  Fixed: 62%",38,0.076852215654809,0.0935712874895629,0.821322627022539,0.777190253660308,0.125459016577777,0.0364234598721504,0.746614289781912,0.108170236451109,0.144488301200722,"12 Months"
"Large_Cap: 39%,  Fixed: 61%",39,0.0774039025757343,0.0951402574164048,0.813576762116135,0.769941712968582,0.129152486776049,0.0362627436208617,0.739654526507917,0.111787603387161,0.143658142562099,"12 Months"
"Large_Cap: 40%,  Fixed: 60%",40,0.077951423649212,0.0967301906710167,0.805864468047292,0.762717111076699,0.132654233263239,0.0360964132544171,0.732744578420891,0.115253278789976,0.142819508816973,"12 Months"
"Large_Cap: 41%,  Fixed: 59%",41,0.0784947747394347,0.0983400704719539,0.798197259395101,0.755527623365354,0.135972696768475,0.0359252179525151,0.725891826300999,0.118571747228708,0.141974585400236,"12 Months"
"Large_Cap: 42%,  Fixed: 58%",42,0.0790339513233858,0.099968933178226,0.790585122904962,0.748382971374512,0.139116058647832,0.03574983885722,0.719102558880329,0.1217475069825,0.141125307633513,"12 Months"
"Large_Cap: 43%,  Fixed: 57%",43,0.0795689484879216,0.101615865928223,0.783036662248452,0.741291558973679,0.142092223343553,0.0355708939978705,0.712382085160657,0.12478504634166,0.140273385059894,"12 Months"
