"Allocation","Num","mean","std","rrr","sharpe1","sharpe2","sharpe3","sharpe4","sharpe5","sharpe6","type"
"Large_Cap: 0%,  Fixed: 100%",0,Inf,4.2291455197404,Inf,Inf,NA,0.000542995240722217,Inf,NA,0.157424845126538,"360 Months"
"Large_Cap: 1%,  Fixed: 99%",1,Inf,4.20131273195267,Inf,Inf,0.137077870727392,0.000564632240032848,Inf,0.190155953681593,0.163271693287389,"360 Months"
"Large_Cap: 2%,  Fixed: 98%",2,Inf,4.17553844483345,Inf,Inf,0.143029151831057,0.000586169275069457,Inf,0.198122999520638,0.168905720602651,"360 Months"
"Large_Cap: 3%,  Fixed: 97%",3,Inf,4.15186099538314,Inf,Inf,0.12191448938849,0.000607566867550983,Inf,0.168540419051085,0.174300215363873,"360 Months"
"Large_Cap: 4%,  Fixed: 96%",4,Inf,4.13031644475006,Inf,Inf,0.127108580222627,0.000628784566885652,Inf,0.175279151162507,0.179431006868168,"360 Months"
"Large_Cap: 5%,  Fixed: 95%",5,Inf,4.11093832727381,Inf,Inf,NA,0.00064978124311484,Inf,NA,0.184276998814946,"360 Months"
"Large_Cap: 6%,  Fixed: 94%",6,Inf,4.09375740800699,Inf,Inf,NA,0.000670515406543985,Inf,NA,0.188820600994948,"360 Months"
"Large_Cap: 7%,  Fixed: 93%",7,Inf,4.07880145246891,Inf,Inf,NA,0.000690945549535466,Inf,NA,0.193048038822865,"360 Months"
"Large_Cap: 8%,  Fixed: 92%",8,Inf,4.06609501239213,Inf,Inf,0.19474846569068,0.000711030504987515,Inf,0.264463539852956,0.196949528541817,"360 Months"
"Large_Cap: 9%,  Fixed: 91%",9,Inf,4.05565923112691,Inf,Inf,NA,0.000730729815202072,Inf,NA,0.200519315017549,"360 Months"
"Large_Cap: 10%,  Fixed: 90%",10,Inf,4.04751167216808,Inf,Inf,0.236470690232254,0.000750004104183211,Inf,0.317719666300685,0.203755577944702,"360 Months"
"Large_Cap: 11%,  Fixed: 89%",11,Inf,4.04166617396044,Inf,Inf,NA,0.000768815445966543,Inf,NA,0.206660220099974,"360 Months"
"Large_Cap: 12%,  Fixed: 88%",12,Inf,4.03813273373008,Inf,Inf,NA,0.00078712772137538,Inf,NA,0.209238557294004,"360 Months"
"Large_Cap: 13%,  Fixed: 87%",13,Inf,4.03691742258817,Inf,Inf,0.27979732530501,0.000804906955672462,Inf,0.368807737236689,0.211498933497422,"360 Months"
"Large_Cap: 14%,  Fixed: 86%",14,Inf,4.03802233357575,Inf,Inf,0.305561545457555,0.000822121629916867,Inf,0.399924952144781,0.213452286154557,"360 Months"
"Large_Cap: 15%,  Fixed: 85%",15,Inf,4.04144556368194,Inf,Inf,0.32757437981506,0.000838742959451526,Inf,0.425586386458904,0.215111686148074,"360 Months"
"Large_Cap: 16%,  Fixed: 84%",16,Inf,4.0471812301946,Inf,Inf,NA,0.000854745133808113,Inf,NA,0.216491874635375,"360 Months"
"Large_Cap: 17%,  Fixed: 83%",17,Inf,4.055219521057,Inf,Inf,NA,0.00087010551338528,Inf,NA,0.217608815552654,"360 Months"
"Large_Cap: 18%,  Fixed: 82%",18,Inf,4.06554677822936,Inf,Inf,Inf,0.000884804779489099,Inf,Inf,0.218479278507473,"360 Months"
"Large_Cap: 19%,  Fixed: 81%",19,Inf,4.07814561241598,Inf,Inf,Inf,0.000898827035657662,Inf,Inf,0.219120462535018,"360 Months"
"Large_Cap: 20%,  Fixed: 80%",20,Inf,4.09299504693708,Inf,Inf,NA,0.000912159859569441,Inf,NA,0.219549667162698,"360 Months"
"Large_Cap: 21%,  Fixed: 79%",21,Inf,4.11007068802015,Inf,Inf,Inf,0.000924794306185563,Inf,Inf,0.219784013677988,"360 Months"
"Large_Cap: 22%,  Fixed: 78%",22,Inf,4.12934491837151,Inf,Inf,Inf,0.000936724864051458,Inf,Inf,0.219840216580343,"360 Months"
"Large_Cap: 23%,  Fixed: 77%",23,Inf,4.15078711057624,Inf,Inf,NA,0.000947949367820979,Inf,NA,0.219734402970513,"360 Months"
"Large_Cap: 24%,  Fixed: 76%",24,Inf,4.17436385666827,Inf,Inf,Inf,0.000958468871033799,Inf,Inf,0.219481976069837,"360 Months"
"Large_Cap: 25%,  Fixed: 75%",25,Inf,4.20003921011198,Inf,Inf,NA,0.000968287483939546,Inf,NA,0.219097518094576,"360 Months"
"Large_Cap: 26%,  Fixed: 74%",26,Inf,4.22777493643937,Inf,Inf,NA,0.000977412181707892,Inf,NA,0.218594727237808,"360 Months"
